tweet_id,location,location_true
ID_1001421891322695680,Maryland,Maryland
ID_1001432796978667520,Maryland,Maryland
ID_1001446202796277760,Howard County Maryland,Elliott Howard Maryland
ID_1001447886582960128,Ellicott City EllicottCity Maryland,Ellicott Maryland
ID_1001448334773575680,Maryland,Ellicot City Maryland
ID_1001453284400484352,Maryland,Maryland
ID_1001456447245336576,Ellicott City Maryland,Ellicott Maryland
ID_1001460350691172352,Ellicott City Maryland,Ellicott City Maryland
ID_1001477538525331456,Ellicott City Maryland,Ellicott City Maryland
ID_1001482893028397056,Ellicott City Maryland,Ellicott City Maryland
ID_1001498151981793280,Maryland,Maryland
ID_1001506483849359360,Howard County Marylands,Marylands
ID_1001508059829751808,Ellicott City Maryland,Ellicott City Maryland
ID_1001514373205151744,Ellicott City Maryland,Ellicott City Maryland
ID_1001514826198220800,CA Ellicott City Maryland,AFRICA Ellicott City Maryland
ID_1001532394950877184,Baltimore Maryland,Baltimore Maryland
ID_1001568880941326336,CA Maryland,Maryland
ID_1001574904729350144,Maryland,Maryland
ID_1001579615192846336,Maryland,Maryland
ID_1001703259265003520,Maryland,Maryland
ID_1001720092722376704,Ellicott City Maryland,Ellicott Maryland
ID_1001821646007697408,Maryland,Maryland
ID_1001835900400218112,Hawaii Maryland,Hawaii Maryland
ID_1001844796875530240,Maryland,Maryland
ID_1001863567241613312,Ellicott City Maryland,Ellicott City Maryland
ID_1001879962394050560,Maryland,Maryland
ID_1002189162412376064,Maryland,Maryland
ID_1002208017083969536,Maryland,Maryland
ID_1002279312312229888,Maryland Pennsylvania Virginia,Maryland Pennsylvania Virginia WestVirgina
ID_1002279603241615360,Baltimore Maryland USA,Maryland
ID_1002297742004285440,FL LA Maryland USA Washington usa,Maryland Washington
ID_1021700755617656832,Athens Greeces Greek VA,Athens Greece
ID_1021707450230161408,Greece,Greece
ID_1021722772849020928,Greece,Greece
ID_1021722786316935168,Greek greece,Tsipras
ID_1021726922387189760,Greece,Greece
ID_1021727469555146752,Athens Greece,Athens Greece
ID_1021728992666312704,Greece,Greece
ID_1021729339451289600,Greece Greek,Greece
ID_1021730969617936384,Greece,Greece
ID_1021735975863689216,Athens Greek,Athens
ID_1021739031426727936,greece,greece
ID_1021741722815143936,Greece,Greece
ID_1021743779257217024,Greece,Greece
ID_1021744433509933056,Greece,Greece
ID_1021749465579970560,Greece Greek,Greece
ID_1021749744262160384,Greece,Greece
ID_1021750356877946880,Greece,Greece Mari
ID_1021760111520489472,Greece,Greece
ID_1021762270253199360,Athens EU Greece Italy,Athens EU Greece Italy
ID_1021764703935188992,Athens Greece,Athens Greece
ID_1021765598831960064,Greece,Greece
ID_1021765968039735296,Athens EU,Athens EU
ID_1021767461149044736,Athens Greek,Athens Greek
ID_1021768115112370176,Greece NE,Greece
ID_1021768291235385344,Greece,Greece
ID_1021771133379600384,Attica Greece,Attica Greece
ID_1021774190263844864,Greece,Greece
ID_1021775991432273920,Athens Greece,Greece
ID_1021782292971368448,Greece,Greece
ID_1021787547721187328,Greeces,Greeces
ID_1021787682677112832,Greece,Greece
ID_1021796962851598336,Greece,Greece
ID_1021797088617816064,Greece,Greece Kineta
ID_1021799419681878016,Athens Greece Rafina,Rafina
ID_1021818401268936704,Greece greece,Greece
ID_1021819738291425280,American Athens Greece,Athens Greece
ID_1021822509505802240,EU Greece,EU Greece
ID_1021823520173699072,Greece New York,Greece New York
ID_1021830423146622976,Athens,Athens
ID_1021837585780498432,Greece Greek PA,Greece
ID_1021841893179760640,Greece Greek,Greece
ID_1021843055756959744,Greece,Greece
ID_1021845215785754624,American CA Greece,Greece
ID_1021857683438284800,Greece,Greece
ID_1021859768841986048,Greece,Greece
ID_1021860654033104896,Greece Greek,Greece
ID_1021860820630884352,Athens Greece,Greece
ID_1021861976484573184,Greece Greek,Greece
ID_1021874833204891648,Greeces,Greeces
ID_1021888418228445184,Greece US,Greece
ID_1021888772785561600,Athens Greece,Athens Greece
ID_1021905507014111232,Greece,Greece
ID_1021906800201883648,Greece,Greece
ID_1021909352247115776,Greece,Greece
ID_1021943095800356864,Athens,Athens
ID_1021993240474669056,Greece,Greece
ID_1022018968503107584,GREECE PR,GREECE
ID_1022022067397509120,Greece London,Greece
ID_1022025636230168576,Greece,Greece
ID_1022042144087912448,Greece,Greece
ID_1022048431072862208,Greece Mati,Greece Mati
ID_1022048685369319424,Greece,Greece
ID_1022052815122952192,Greece,Greece
ID_1022061287960977408,Greece,Greece
ID_1022074062066081792,Cyprus Greece,Greece
ID_1022074311685877760,Greece usa,Grecia Greece
ID_1022076968286789632,Greece usa,Greece
ID_1022078727822422016,Europe GREECE Greece greece,Greece
ID_1022099514021367808,Greece Greek,Greece
ID_1022101810461519872,Europe GREECE Greece,GREECE Greece
ID_1022102229271109632,Athens Greek usa,Athens Greek
ID_1022102900800217088,Athens Attica Cyprus Greece,Attica Cyprus
ID_1022114377976176640,Greece,Greece
ID_1022121627700604928,Athens Greece,Athens
ID_1022137480903045120,Athens Greece Greek Mati,Athens Greece Mati
ID_1022138375590080512,Athens Greece,Athens Greece
ID_1022145829107388416,Athens Attica Greece Mati,Athens Greece Mati
ID_1022163300723949568,Athens,Athens
ID_1022166211927449600,Athens Egypt Syrian,Palestinian Syrian
ID_1022167215309836288,Athens Greece,Athens Greece
ID_1022207860128866304,Greece Greek NE UK,Greece
ID_1022215095785582592,Athens Greek Ireland Mati,Athens Ireland
ID_1022220222466600960,EU GREECE Greece,Greece
ID_1022233104038223872,Attica Greece greece,Attica
ID_1022240513607524352,Athens Greece,Athens Greece
ID_1022242256894537728,Greece Greek Mati,Greece
ID_1022259118638342144,Athens Greece,Athens Greece
ID_1022266107045003264,Greece,Greece
ID_1022279102068391936,Greece,Greece
ID_1022294209116741632,Greece,Greece
ID_1022365892582301696,Athens,Athens Athens wildfires
ID_1022370199855620096,Greece,Greece
ID_1022371018768375808,Attica Greece,Greece
ID_1022378274909970432,Greece Mati Rafina,Greece Mati Rafina
ID_1022434022977413120,Greece Greek Mati,Greece Mati
ID_1022434120000065536,Greece,Greece
ID_1022438756891148288,Athens Attica Greece,Attica
ID_1022461309324079104,Greece Mati,Mati
ID_1022469157428908032,Greece,Greece
ID_1022472933908930560,Greece,Greece
ID_1022508229631324160,Athens Greece,Greece
ID_1022517049476767744,Greece,Greece
ID_1022559822456258560,Greece,Greece
ID_1022574229013848064,Athens Greece greece,Greece
ID_1022576581246640128,Greece,Greece
ID_1022580641479778304,Greece,Greece
ID_1022612558405087232,Greece,Greece
ID_1022613566657122304,Greece Greek Mati,Greece
ID_1022779648122466304,Athens Greece,Greece
ID_1022801548089466880,Attica Greece LA,Attica Greece
ID_1022802090211651584,Greece Greek greece,Greece greece
ID_1022821632329633792,Greece,Greece
ID_1022826065398521856,Athens Attica,Attica
ID_1022892578054787072,France Greece Mati,Mati
ID_1022912729374437376,Athens Greece Greek Mati,Athens Greece
ID_1022919610860019712,Athens Australia Greece Greek,Athens Australians Greece Greek
ID_1022940890174840832,Greece,Greece
ID_1022966510602670080,Greece Greek,Greece
ID_1022968008598347776,Greece,Greece
ID_1022968849694633984,Athens Greece Mati,Greece
ID_1023098760572923904,Athens,Athens
ID_1023109807258128384,Greece,Greece
ID_1023111663611011072,Attica Greece PA,Attica
ID_1023165657465217024,Greece Greek,Greece
ID_1023172842484051968,Greece greece,Greece
ID_1023196514242445312,Greece,Greece
ID_1023255494385967104,GREECE,GREECE
ID_1023255830723014656,Athens Greece,Greece
ID_1023273626588643328,Greece,Greece
ID_1023284608471912448,Greece,Greece
ID_1023296495896993792,Greece,Greece
ID_1023297525351149568,Athens Greece Greek,Athens Greece
ID_1030384006641082368,Aranmula Kerala,Aranmula Malakkara
ID_1030390856786763776,India Kerala KeralaFloods,India Kerala
ID_1030391377585008640,India Kerala,Kerala
ID_1030395234222407680,Kerala KeralaFloods,Kerala
ID_1030396033740636160,Kerala KeralaFloods,Sanjivani
ID_1030396263991193600,India Kerala Keralas,India Kerala
ID_1030400069516767232,Kerala KeralaFloods US,Kerala
ID_1030400872478519296,kerala,kerala
ID_1030405122872893440,Kerala KeralaFloods,Kerala
ID_1030412580182020096,KeralaFloods Keralas,Keralas
ID_1030413084530114560,Cochin Kerala KeralaFloods,Karukutty
ID_1030415863311003648,KeralaFloods Keralas,Kerala Keralas
ID_1030714396027367424,Kerala,Kerala
ID_1030719115848167424,Kerala KeralaFloods,Kerala
ID_1030719857447206912,Kerala Kottayam,Kottayam Vaikom
ID_1030723616487292928,Kerala,Kerala
ID_1030730701157490688,Alappuzha Chengannur Kerala KeralaFloods LA usa,Alappuzha Chengannur
ID_1030736110694158336,Indian Kerala KeralaFloods,India Kerala
ID_1030739855897255936,Kerala KeralaFloods,Bhub Mar Ivanios 4 Vazhuthacad Vazhuthacaud Vidya Nagar Weavers Village
ID_1030740612587315200,Indian Kerala Kochi Mumbai,Indian Kerala Kochi Mumbai
ID_1030740752697946112,Hyderabad Kerala KeralaFloods Telangana Trivandrum,Hyderabad Telangana
ID_1030744784170713088,Kerala kerala,Kerala
ID_1030750137608482816,Kerala,Keralite
ID_1030751677618384896,Kerala KeralaFloods,Pamba
ID_1030756151330320384,India Kerala,Kerala
ID_1030761481527275520,Kerala KeralaFloods,Amrutha vidyalayam Edappally Rescue Camp
ID_1030767692846780416,Kerala,Kerala
ID_1030778998643728384,Kerala KeralaFloods Thiruvananthapuram,Kerala Thiruvananthapuram
ID_1030779030067441664,Kerala,Kerala
ID_1030785952963121152,Bangalore KERALA Kerala KeralaFloods,Bangalore KERALA Kerala
ID_1030793956831911936,Indian Kerala,Indian
ID_1030801702755004416,Kerala,Kerala
ID_1030821624390373376,Chengannur Indian Kerala KeralaFloods,Kerala
ID_1030822509195743232,Kerala KeralaFloods,Kerala
ID_1030834611851612160,Chalakudy Chengannur Indian Kerala,Chalakudy Chengannur Indian Kerala
ID_1030843777177591808,India Kerala,Kerala
ID_1030847037741453312,Karnataka Kerala,Karnataka Kerala
ID_1030847703305998336,Chengannur Kerala,Chengannur
ID_1030848115450900480,India Kerala,Kerala
ID_1030875655754285056,Kerala,Kerala
ID_1030876594439475200,Indian Kerala KeralaFloods,Indians Kerala
ID_1030876806662959104,India Kerala,India Kerala
ID_1030889417282650112,Kerala TamilNadu,TamilNadu
ID_1030902593466167296,Kerala KeralaFloods,Changanasserry
ID_1030948748506161152,India Kerala,India Kerala
ID_1030965090382753792,Kerala,Kerala
ID_1030975134318977024,Kerala KeralaFloods,Kerala
ID_1030984222759165952,Indian Kerala KeralaFloods,Indian Law Institute
ID_1030990647816151040,Kerala KeralaFloods,Kerala
ID_1031032542122598400,Kerala KeralaFloods,Kerala
ID_1031045983747096576,Alappuzha Kerala KeralaFloods,Alappuzha Govt Highschool Polleathai
ID_1031046402879709184,Kerala KeralaFloods,Kerala
ID_1031047154381533184,Kerala Pakistan,Kerala Pakistan
ID_1031047442341482496,Kerala,Kerala
ID_1031058768514220032,Ernakulam Kerala KeralaFloods,Chalakka Ernakulam
ID_1031059089621536768,Kerala,Kerala
ID_1031059583966445568,Kerala,Kerala
ID_1031067487218098176,Kerala,Kerala
ID_1031071785616203776,Kerala,Kerala
ID_1031082208822476800,Kerala,Kerala Kosi Tapi
ID_1031082800458461184,Gujarat Kerala,Kerala
ID_1031093958091268096,Kerala KeralaFloods,Nelliyampathy
ID_1031106546472648704,Gujarat Kerala Kerala..,Baroda Gujarat Kerala
ID_1031117761127149568,Kerala KeralaFloods,Kerala
ID_1031221022505283584,Bangalore Chennai Delhi Hyderabad Mumbai,Bangalore Chennai Delhi Hyderabad Mumbai
ID_1031380345793466368,India Kerala KeralaFloods PR,Thiruvella
ID_1031398750604935168,Chengannur India Kerala,Catholic Church Municipality Road Chengannur India Kerala
ID_1031422868062707712,Kerala Kochi,St. Joseph church thrissur
ID_1031436382525382656,Kerala,Kerala
ID_1031445863116111872,Unknown,Andrapradesh godavari jallas
ID_1031451218005184512,Kerala kerala,Haripad
ID_1031476760037081088,Aluva Bangalore Kerala,Aluva
ID_1031500685420965888,Ernakulam Kerala,Ernakulam
ID_1031500990275567616,Kerala Thrissur,Kerala Thrissur
ID_1031516946746028032,Kerala KeralaFloods,Kerala
ID_1031517191122767872,Kerala KeralaFloods,"C1 MYS Venus Apts Neerungal Road, Rajagiri P.O south kalamassery, 683104 bengaluru kochi"
ID_1031520557064486912,Kerala KeralaFloods,Kerala
ID_1031530674707152896,Asia Kerala KeralaFloods,Kerala
ID_1031532631861747712,Kerala KeralaFloods,Kerala
ID_1031552407942119424,Cochin Kerala KeralaFloods,Cochin
ID_1031578576162709504,Kerala KeralaFloods,Shenoy Memorial Higher Secondary School
ID_1031588197963247616,Kerala KeralaFloods,Kerala
ID_1031734975350091776,Kerala Keralas,Keralas
ID_1031770111332372480,Kerala LA,Kerala
ID_1031800864585998336,Kerala KeralaFloods,Kerala
ID_1031814520849752064,Kerala,JK Bank
ID_1031850598369386496,Kerala KeralaFloods UAE,Kerala UAE
ID_1032065411985039360,Kerala KeralaFloods,Kerala
ID_1032105787152187392,Kerala,Kerala Kudagu
ID_1032110310469984256,Kerala,Kerala
ID_1032133016594915328,India Kerala,India Kerala
ID_1032134106639814656,India Kerala KeralaFloods,North Paravur
ID_1032135241714917376,Kerala KeralaFloods,Kerala
ID_1032171086467788800,Kerala KeralaFloods,Kerala
ID_1032171427535806464,Chengannur Kerala KeralaFloods,Alapuzha Chengannur ernakulam
ID_1032183167430615040,Kerala Pathanamthitta kerala,Kerala Pathanamthitta
ID_1032202248284041216,Kerala,Guwahati Kerala
ID_1032217844015083520,Kerala KeralaFloods,Kerala
ID_1032219887530328064,Emirates Kerala KeralaFloods UAE,Kerala United Arab Emirates
ID_1032223763654475776,Kerala Maharashtra,Kerala Maharashtra
ID_1032259281389801472,India Kerala SC UK,Kerala KeralaFloodRelief
ID_1032289123078303744,Cochin Ernakulam Kerala KeralaFloods Mumbai,Cochin Ernakulam Mumbai
ID_1032289914279288832,Kerala KeralaFloods,Kerala
ID_1032299744763076608,Kerala kerala,Kerala
ID_1032311743702228992,Kerala kerala,Kerala
ID_1032334899418673152,Kerala,Kerala
ID_1032452390233022464,Cochin Kerala Kochi,Cochin
ID_1032459311497142272,Indonesia NC Sri Lanka Thailand,Indonesia Sri Lanka Thailand
ID_1032461898933923840,Chennai Kerala KeralaFloods Tamilnadu,Chennai Dist Tamilnadu
ID_1032485001160470528,Kerala KeralaFloods,Kerala
ID_1032490326605398016,CA Kerala KeralaFloods,Pathanamthita Seethathodu panchayat
ID_1032529637631438848,Cochin Indian Kerala,Nadakkavu
ID_1032542893913853952,Chengannur,Chengannur
ID_1032544277115559936,Kerala KeralaFloods,Kerala Kolkata
ID_1032595530776342528,Kerala KeralaFloods Mullaperiyar SC Tamilnadu,Kerala Mullaperiyar Tamilnadu
ID_1032595864366108672,Kerala KeralaFloods Kozhikode,Kozhikode
ID_1032618019908771840,Kerala,Cheruthoni
ID_1032627122223898624,Kerala,Kerala
ID_1032628371119697920,Kerala usa,Kerala
ID_1032628429630435328,Kerala,Kerala
ID_1032640276609658880,Kerala KeralaFloods,Kerala
ID_1032647125304111104,Kerala KeralaFloods,Kerala
ID_1032648125981253632,Kerala KeralaFloods Pune Syrian,Orthodox Syrian Church Pune
ID_1032650789985038336,India Kerala KeralaFloods UAE,India Kerala
ID_1032685880383819776,Kannur Kerala KeralaFloods,Kannur Kerala
ID_1032881461962010624,Gujarat Kerala KeralaFloods,Gujarat
ID_1032923987913986048,Kerala KeralaFloods,Madapura Velayudhan
ID_1032953187211390976,Kerala KeralaFloods UAE,Kerala
ID_1032981008591740928,KeralaFloods Keralas,Kerala Keralas Koovappady Kunnathunad Taluk Mattakuzhi
ID_1032998261961846784,Kerala KeralaFloods UAE,DUBAI
ID_1033086560282001408,Kerala KeralaFloods,Kerala
ID_1033164122488221696,Kerala,Kerala
ID_1033166927412092928,Kerala Pakistan kerala,Kerala Pakistan
ID_1033186117908983808,Kerala,Kerala
ID_1033187066245349376,Kerala,Kerala Rakshabandhan
ID_1033190983544975360,UAE kerala,UAE
ID_1033190998782836736,Kerala,Kerala Vatican
ID_1033209292034203648,Emirates Kerala UAE,Emirates Kerala UAE
ID_1033212934061678592,Bangalore Kerala KeralaFloods,Bangalore
ID_1033247149859823616,Kerala KeralaFloods Kuttanad,Kuttanad
ID_1033255878693138432,Kerala KeralaFloods,Kerala
ID_1033292762186047488,Kerala KeralaFloods,Kerala
ID_1033320671546200064,Kerala KeralaFloods,Kerala
ID_1033543172687708160,Chengannur Kerala KeralaFloods,Chengannur
ID_1033634181505462272,India Kerala KeralaFloods,India Kerala
ID_1033750841545523200,KERALA Kerala usa,Kerala
ID_1033771250269573120,Kerala,Kerala
ID_1033771872729485312,Kerala,Kerala
ID_1039398873465217024,Florence North Carolina,North Carolina
ID_1039399783180328960,Galveston Texas US,Galveston Texas
ID_1039400778958426112,Florence US,US
ID_1039405953244954624,East Coast Florence Miamis,Miamis
ID_1039406925295874048,Florence,Florence
ID_1039410457197535232,Florence South Carolina SouthCarolina VA,South Carolina SouthCarolina
ID_1039425818475331584,Florence NC VA,NC VA
ID_1039439670193651712,Carolina Florence Miami,Carolina
ID_1039441821171101696,Hurricane Florence Lowcountry,Lowcountry
ID_1039445510359212032,Hurricane Florence LA Virginia,Virginia
ID_1039449269676240896,Carolinas Hurricane Florence,Carolinas
ID_1039450679729905664,Florence,Florence
ID_1039462262128500736,Hurricane Florence NC,Milford NC
ID_1039465819653189632,Carolina Hurricane Florence North Carolina,North Carolina
ID_1039485785278439424,Hurricane Florence N.C.,N.C.
ID_1039487196347150336,Hurricane Florence,Rapidan Village
ID_1039492376669114368,Charlotte Hurricane Florence,Charlotte Humane Society
ID_1039492607334932480,Florence Miami NorthCarolina SouthCarolina,Carolina coast NorthCarolina SouthCarolina
ID_1039499856656719872,Hurricane Florence,Atlantic Coast
ID_1039505494094667776,Carolinas Hurricane Florence,Carolinas
ID_1039506203452350464,Hurricane Florence North Carolina South Carolina USA Virginia,North Carolina South Carolina Virginia
ID_1039506672652189696,Florence,Florence
ID_1039506952659730432,Florence,MD
ID_1039513592171704320,SC,SC Walterboro
ID_1039517994915950592,Florence South Florida,Florida
ID_1039531845443051520,Florence SouthCarolina,SouthCarolina
ID_1039532417512603648,Hurricane Florence,Florence
ID_1039532518020706304,Carolinas Florence Louisiana,Carolinas Louisiana
ID_1039538555637391360,Hurricane Florence Washington,Washington
ID_1039539233709535232,Hurricane Florence Nebraska,Nebraska
ID_1039540088428847104,Florence,inland
ID_1039545608284057600,Florence U.S.,U.S.
ID_1039546242542522368,FL Florence Florida NC,Florida
ID_1039546587524091904,Hurricane Florence,Jaspe
ID_1039552912375119872,Carolina Charlotte Hurricane Florence South Carolina,Charlotte Rock City South Carolina
ID_1039553399316836352,Florence NorthCarolina,NorthCarolina
ID_1039559301189304320,Boston Hurricane Florence NC North Carolina West Virginia,Boston Coastal Carolina Florence NC North Carolina Virginia
ID_1039564810650836992,Carolinas Hurricane Florence PR Virginia,Carolinas Virginia
ID_1039565048056868864,D.C. Florence Washington,"Washington, D.C."
ID_1039565473103392768,Florence North Carolina Texas Virginia,Florence North Carolina Texas Virginia
ID_1039574723976409088,Baltimore Florence,Baltimore
ID_1039575048149815296,SC,SC
ID_1039575469505605632,Charlotte Hurricane Florence,Charlotte
ID_1039584053903732736,Hurricane Florence,Florence
ID_1039594978823950336,Florence South Carolina,South Carolina
ID_1039595251063840768,Carolinas Florence,Carolinas
ID_1039834031095836672,Carolina Hurricane Florence,Carolina
ID_1039834360206307328,Florence,Raleigh Wrightsville Beach WrightsvilleBeach
ID_1039834805465231360,Florence Michigan,Michigan
ID_1039866267480584192,Florence Virginia,Virginia
ID_1039869236951347200,Cumberland Fayetteville Florence,Cumberland County Fayetteville
ID_1039888525594972160,Hurricane Florence,Congaree National Park
ID_1039898974621032448,Hurricane Florence New York,New York
ID_1039899745085534208,Hurricane Florence NY New York,New York
ID_1039900699935604736,Florence,Florence
ID_1039909423295156224,Florence N.C.,N.C.
ID_1039910866085466112,Puerto Rico,Puerto Rico
ID_1039919694550106112,NC VA,NC VA
ID_1039919893431414784,Carolinas Florence Myrtle Beach South Carolina,Carolinas Florence Myrtle Beach South Carolina
ID_1039919939317129216,Carolina Hurricane Florence South Carolina,South Carolina
ID_1039920217030369280,Florence SC,SC
ID_1039921668246974464,Florence,Florence
ID_1039921948699111424,Carolinas Florence,the Carolinas
ID_1039922396428414976,CA Carolinas FL Florence NC NE,Carolinas
ID_1040142700102774784,Carolinas Florence,Carolinas Neyland Stadium
ID_1040146718975713280,Carolina Florence US,N Carolina South C. US
ID_1040195140521009152,Hurricane Florence,Bartow County Ga.
ID_1040195299438936064,Hurricane Florence,8541 Middlebrook Pike
ID_1040327443536662528,Unknown,Lenoir County
ID_1040545565334007808,Florence NC New Bern northcarolina,NC New Bern northcarolina
ID_1040545883237085184,CA Florence NE North Carolina Wilmington,North Carolina Wilmington
ID_1040546396640890880,D.C. Hurricane Florence Norfolk Virginia Washington,D.C. Norfolk Virginia Washington
ID_1040547716370231296,Charleston Hurricane Florence,Charlestons
ID_1040550452968906752,Florence,Craven County
ID_1040551281989955584,Florence South Carolina usa,South Carolina
ID_1040551925882789888,FL Georgia NC North Carolina SC Virginia,Georgia North Carolina Virginia
ID_1040553121649324032,Florence North Carolina Wilmington,North Carolina Wilmington
ID_1040553385320243200,Carolina Hurricane Florence South Carolina,South Carolina
ID_1040553821498425344,Carolinas Hurricane Florence,Carolinas Florence
ID_1040555080221638656,Florence NC New Bern,NC New Bern
ID_1040613767040647168,CA GA Hanover NC NE SC,New Hanover Co
ID_1040659840027308032,Florence NC,NC
ID_1040667229875003392,NC Washington,Belhaven Chocowinity Washington
ID_1040708112368521216,Florence North Carolina,North Carolina
ID_1040708986352410624,Florence Ohio,Ohio
ID_1040944644450865152,CA FL LA NC NE PA US,SHALLOTE Shallotte
ID_1041024511800500224,Florida Jacksonville,Florida Jacksonville
ID_1041211282177896448,Florence NC North Carolina PA SC Virginia,North Carolina Virginia
ID_1041216251639554048,Carolinas Florence,Carolinas
ID_1041217692949204992,Charlotte Hurricane Florence,Charlotte
ID_1041220553535840256,Charlotte Hurricane Florence,Charlotte
ID_1041232582762004480,Florence,Florence
ID_1041262998122319872,FL NE SC US,ANGELUS ROAD Chesterfield OF SWEET HOME CHURCH ROAD SC
ID_1041267836293771264,Florence,Florence
ID_1041268596893200384,CA Fayetteville Florence,Cape Fear River
ID_1041274587365994496,Florence,Florence
ID_1041275763637592064,Florence North Carolina,North Carolina
ID_1041276998629445632,Hurricane Florence,Florence
ID_1041283224603947008,Carolinas Florence,Carolinas
ID_1041284201126002688,Florence NC,Florence NC Vienna
ID_1041336127309996032,CA FL LA Lancaster NE PA SC,Lancaster
ID_1041402049429204992,FL LA NC NE,ELROD ROAD MAXTON ROBESON COUNTY
ID_1041409621024333824,CA FL LA NC NE PA US,3 NE Hampstead HAMPSTEAD NC PENDER COUNTY
ID_1041413600861052928,FL GA LA NC NE PA US,Bolivia Brunswick Co GALLOWAY RD NC OLD OCEAN HIGHWAY/US-17
ID_1041427122366107648,FL LA NE SC,5TH STREET DARLINGTON Darlington HARTSVILLE Hartsville PINEWOOD AVE SC
ID_1041484547400130560,Cumberland FL LA NC NE PA,Cumberland HIGHWAY 59 BRIDGE NEAR PARKTON RD NC
ID_1041490705116549120,CA NC,NC
ID_1041504888415563776,Chico US,Chicopee Rd SouthJohnsonCounty
ID_1041574792758009856,Florence,Florence
ID_1041577775067348992,Florence NC,NC
ID_1041578034900492288,Hurricane Florence N.C. North Carolina,N.C. North Carolina
ID_1041582624823799808,Florence,East coast
ID_1041591040036298752,Florence NorthCarolina,NorthCarolina
ID_1041599955708850176,Florence USA,USA
ID_1041610020205543424,Carolinas Florence NC SC Wilmington,Carolinas
ID_1041612348337868800,Florence NC,NC
ID_1041624448204517376,North Carolina,North Carolina
ID_1041625559388901376,FL Florence Gainesville LA,Gainesville Ocala
ID_1041627813202354176,CA Florence,Duplin County
ID_1041627888875909120,N.C. VA,N.C. VA
ID_1041628642219106304,Florence NC,Florence Laurel Hill Scotland County
ID_1041630356338864128,Carolina,Carolina
ID_1041635465366003712,American Florence South Carolina usa,South Carolina
ID_1041635990748753920,Hurricane Florence New Bern,New Bern
ID_1041694221391077376,CA FL NE SC VA,LOWESVILLE ROAD Nelson Co PINEY RIVER Roseland VA WOODSON ROAD
ID_1041776844444520448,Florence NC North Carolina,North Carolina Spring Lake
ID_1041794673180860416,Florence,Florence
ID_1041931741274038272,Florence Virginia,Virginia
ID_1061150344103653376,California usa,California
ID_1061157427431694336,California,California Nipomo
ID_1061178593043111936,CA California Californias Los Angeles Malibu Ventura County,Californias Los Angeles Malibu Ventura County
ID_1061179068048179200,California Californias,Californias
ID_1061180173259759616,California Sacramento,California
ID_1061259573250719744,CA California california,California
ID_1061264098120396800,California Paradise,California
ID_1061295892647632896,California,California
ID_1061306476562546688,California Northern California,California
ID_1061314021981413376,California,California
ID_1061320150849249280,California Chico Paradise,California
ID_1061321072627245056,CA,CA
ID_1061321216609447936,CA NE NY PA,CA PARADISE
ID_1061325222140231680,California Northern California,California Northern California
ID_1061334173334437888,California,California
ID_1061336107357372416,Butte California california,@california California
ID_1061353473705275392,California,California
ID_1061356560587411456,CA California,California
ID_1061357521519157248,California Malibu,California Malibu
ID_1061374958553620480,usa,Thousand Oaks Woodland Hills
ID_1061384727427350528,California Californias usa,Californias
ID_1061385768311156736,California,California
ID_1061394323621720064,California,California
ID_1061415946055634944,California,California
ID_1061419117062864896,California usa,California Simi Valley Woodland Hills
ID_1061443221463752704,California,California
ID_1061444164318101504,California,California
ID_1061458008218181632,California,California
ID_1061462315114131456,California,California
